Janr,Nesriyyat,Cild,Muellif,Sehife sayi,Dil,Qiymet
Detektiv,Qanun Nəşriyyatı,Yumşaq,Georges Simenon,160.0,Azərbaycan,4.79
Fantastika,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Herbert George Wells,224.0,Azərbaycan,6.39
Roman,Qanun Nəşriyyatı,Yumşaq,Seymur Baycan,240.0,Azərbaycan,7.99
Klassika,Qanun Nəşriyyatı,Yumşaq,Ceyn Ostin,112.0,Azərbaycan,3.59
Klassika,Qanun Nəşriyyatı,Yumşaq,Aleksandr Sergeyeviç Puşkin,176.0,Azərbaycan,3.99
Roman,Qanun Nəşriyyatı,Yumşaq,Guillaume Musso,440.0,Azərbaycan,8.79
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Robin Şarma,384.0,Azərbaycan,7.99
Biznes,Qanun Nəşriyyatı,Yumşaq,Simon Sinek,320.0,Azərbaycan,10.39
Tarix,Qanun Nəşriyyatı,Bərk,Əzizə Cəfərzadə,352.0,Azərbaycan,7.99
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Mümin Sekman,168.0,Azərbaycan,4.79
Müasir nəsr,Qanun Nəşriyyatı,Yumşaq,Guillaume Musso,336.0,Azərbaycan,7.99
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Dale Carnegie,208.0,Azərbaycan,7.99
Klassika,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Mixail Lermontov,216.0,Azərbaycan,4.39
Müasir nəsr,Qanun Nəşriyyatı,Yumşaq,Əsli E. Pərkər,408.0,Azərbaycan,7.99
Klassika,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Şarlotta Bronte,680.0,Azərbaycan,11.18
Roman,Qanun Nəşriyyatı,Yumşaq,Kamilo Xose Sela,128.0,Azərbaycan,3.99
Tarix,Qanun Nəşriyyatı,Yumşaq,Vilayət Quliyev,400.0,Azərbaycan,10.49
Tarix,Qanun Nəşriyyatı,Yumşaq,Əlisa Nicat,344.0,Azərbaycan,7.99
Tarix,Qanun Nəşriyyatı,Bərk,Ədalət Tahirzadə,1272.0,Azərbaycan,24.0
Roman,Qanun Nəşriyyatı,Yumşaq,İskəndər Pala,352.0,Azərbaycan,7.99
Hekayə,Qanun Nəşriyyatı,Yumşaq,Rafiq Tağı,344.0,Azərbaycan,9.6
Hekayə,Qanun Nəşriyyatı,Yumşaq,Rafiq Tağı,328.0,Azərbaycan,9.6
Hekayə,Qanun Nəşriyyatı,Yumşaq,Rafiq Tağı,344.0,Azərbaycan,9.6
Klassika,Qanun Nəşriyyatı,Yumşaq,Fyodor Dostoyevski,136.0,Azərbaycan,3.19
Biznes,Qanun Nəşriyyatı,Yumşaq,Erik Şmidt və Conatan Rozenberq,320.0,Azərbaycan,10.39
Hekayə,Qanun Nəşriyyatı,Yumşaq,Zuvdiya Hodciç,112.0,Azərbaycan,3.99
Elm,Qanun Nəşriyyatı,Yumşaq,Richard Dawkins,456.0,Azərbaycan,12.79
Elm,Qanun Nəşriyyatı,Yumşaq,Frensis Fukuyama,528.0,Azərbaycan,14.39
Roman,Qanun Nəşriyyatı,Yumşaq,Kamuran,224.0,Azərbaycan,6.39
Klassika,Qanun Nəşriyyatı,Yumşaq,Fyodor Dostoyevski,96.0,Azərbaycan,2.79
Ezoterika,Qanun Nəşriyyatı,Yumşaq,Osho,496.0,Azərbaycan,11.19
Klassika,Qanun Nəşriyyatı,Yumşaq,Nizami Gəncəvi,432.0,Azərbaycan,10.39
Detektiv,Qanun nəşriyyatı,Yumşaq,Əyyub Qiyas,352.0,Azərbaycan,7.99
"Psixologiya, özünüinkişaf",Qanun Nəşriyyatı,Yumşaq,"Napoleon Hill və Michael J. Ritt, Jr.",168.0,Azərbaycan,5.19
Roman,Qanun Nəşriyyatı,Yumşaq,Heather Morris,304.0,Azərbaycan,7.99
Roman,Qanun Nəşriyyatı,Yumşaq,İbrahim Darabi,560.0,Azərbaycan,11.99
Uşaq ədəbiyyatı,Qanun Nəşriyyatı,Yumşaq,Aleksandr Qrin,128.0,Azərbaycan,3.59
Fantastika,Qanun Nəşriyyatı,Yumşaq,J.R.R. Tolkien,464.0,Azərbaycan,11.92
Detektiv,Qanun Nəşriyyatı,Yumşaq,Aqata Kristi,288.0,Azərbaycan,5.99
Tarix,Qanun Nəşriyyatı,Yumşaq,Güntay Gəncalp,448.0,Azərbaycan,9.59
